id,slug,mode,wake_source,status,tool_rounds,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,cost_usd,duration_ms,created_at
ee3ab886-e836-4754-8676-9d9f6ab82046,pre-ship-audit,judgment,substrate_event,success,6,43756,2882,151033,60738,0.238707,41706,2026-05-27T06:48:17.876531+00:00
eea87d74-1238-42ba-ad2e-170f8096d966,pre-ship-audit,judgment,substrate_event,success,4,42362,1205,91660,32412,0.156909,15989,2026-05-27T06:48:34.069825+00:00
6ef07980-7c33-4e30-8db3-d247ff08b702,addressed,judgment,addressed,success,6,41628,2032,179792,42345,0.196318,73110,2026-05-27T06:48:45.203655+00:00
0e1fb699-39fe-43d2-bb07-814b85cde383,addressed,judgment,addressed,success,5,43117,3257,137855,43808,0.204716,47599,2026-05-27T06:49:37.451817+00:00
113045ab-2ed5-4901-901e-a87c57d3af14,addressed,judgment,addressed,success,7,45705,4381,217213,37792,0.218514,57404,2026-05-27T06:50:37.70178+00:00
bdea5a4d-8da6-4edb-86e0-a76eef0eee3f,addressed,judgment,addressed,success,4,38235,899,91660,40978,0.16499,19892,2026-05-27T06:50:59.943301+00:00
62034dc6-7b4e-455e-98f8-f7b97bcd39ab,addressed,judgment,addressed,success,2,29117,589,45830,0,0.058632,13603,2026-05-27T06:51:16.771981+00:00
6775a966-7b19-45ec-b696-266b5bb46cac,pre-ship-audit,judgment,substrate_event,success,5,39432,2984,133553,38083,0.184498,31677,2026-05-27T06:51:50.848252+00:00
66aeba9f-b4fc-4bc5-a2b0-a681e751678e,addressed,judgment,addressed,success,3,32283,2062,68745,15662,0.110472,33178,2026-05-27T06:52:56.316793+00:00
886cb153-4fb4-4dda-b7ba-0cf309276672,addressed,judgment,addressed,success,5,38302,2226,129864,32730,0.165329,35617,2026-05-27T06:53:35.02892+00:00
